Which language is primarily spoken in Brazil?,Portuguese
What is the traditional Japanese art of paper folding?,Origami
In which country is the festival of Diwali celebrated?,India
What is the Italian word for "goodbye"?,Arrivederci
Which dance originated in Argentina?,Tango
What is the national sport of Japan?,Sumo
Which religion celebrates Ramadan?,Islam
Which country is known for the martial art Taekwondo?,South Korea
In which country would you find the famous landmark, Machu Picchu?,Peru
What traditional clothing is worn by women in India?,Sari
