What is the capital city of Canada?,Ottawa
In what field do sociologists primarily work?,Society
What is the study of human cultures, customs, and societies?,Anthropology
Which document outlines the fundamental laws of the United States?,The Constitution
What is the term for a society ruled by a king or queen?,Monarchy
What is the process called by which people learn customs, norms, and values of their society?,Socialization
What is the political system where power is held by the people?,Democracy
Which continent is known as the birthplace of human civilization?,Africa
What is the primary language spoken in Brazil?,Portuguese
Who is considered the “Father of Sociology”?,Auguste Comte
